,Cat(s),Hair Dryer,Smoke Detector,Wireless Internet,Other pet(s),Dog(s),Smoking Allowed,Heating,24-Hour Check-in,Family/Kid Friendly,Safety Card,Internet,Gym,Breakfast,Indoor Fireplace,Fire Extinguisher,Wheelchair Accessible,Iron,Pool,First Aid Kit,Laptop Friendly Workspace,Doorman,Carbon Monoxide Detector,Shampoo,Dryer,Buzzer/Wireless Intercom,Free Parking on Premises,Hangers,Suitable for Events,Pets Allowed,Washer / Dryer,Hot Tub,Pets live on this property,Kitchen,Elevator in Building,TV,Lock on Bedroom Door,Essentials,Air Conditioning,Washer,Cable TV,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
43,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,1.0,1.0,1.0,1.0,1.0,3,1.5,1.0,2.0,854.6185567010309,150.0,788.4818317570931,2613.336189848385,287.61039657020365,1,2,1125,8,34,64,339,18,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,3.35
44,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,0.5,1.0,0.0,1.0,1.0,5,1.0,1.0,1.0,854.6185567010309,150.0,540.0,1911.0,287.61039657020365,1,1,1125,0,0,11,285,9,100.0,10.0,10.0,9.0,9.0,10.0,10.0,1,1.99
45,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,False,True,False,True,False,0.5,1.0,0.0,1.0,1.0,2,1.0,0.0,1.0,854.6185567010309,100.0,788.4818317570931,2613.336189848385,287.61039657020365,1,1,1125,28,58,87,87,20,92.0,9.0,9.0,9.0,9.0,9.0,9.0,1,2.29
46,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,0.9,1.0,0.0,1.0,1.0,10,3.0,4.0,4.0,854.6185567010309,349.0,788.4818317570931,2613.336189848385,287.61039657020365,1,1,1125,30,60,90,354,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221247
47,True,False,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,1.0,1.0,0.0,1.0,1.0,2,1.0,0.0,1.0,854.6185567010309,110.0,700.0,2613.336189848385,287.61039657020365,1,2,1125,30,60,89,89,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.06
48,False,False,True,True,False,False,False,True,False,True,True,True,False,False,False,True,True,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,0.948867981790592,0.999671592775041,0.0,1.0,1.0,4,1.0,1.0,2.0,854.6185567010309,160.0,1140.0,2613.336189848385,100.0,2,2,1125,0,0,20,295,1,100.0,8.0,10.0,10.0,10.0,10.0,10.0,1,0.16
49,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1.0,1.0,0.0,1.0,1.0,4,1.0,1.0,3.0,854.6185567010309,130.0,1000.0,2700.0,140.0,2,3,1125,30,60,89,89,26,95.0,10.0,10.0,9.0,10.0,10.0,9.0,1,0.8
50,False,True,True,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,True,False,True,True,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True,1.0,1.0,0.0,1.0,1.0,2,1.0,0.0,1.0,854.6185567010309,99.0,788.4818317570931,2613.336189848385,287.61039657020365,2,1,1125,25,51,81,142,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.0
51,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,1.0,1.0,0.0,1.0,1.0,2,1.0,0.0,1.0,854.6185567010309,100.0,788.4818317570931,2000.0,287.61039657020365,1,1,1125,0,15,29,29,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221247
52,True,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,False,True,0.948867981790592,0.999671592775041,0.0,2.0,2.0,3,1.0,1.0,1.0,854.6185567010309,137.0,815.0,2613.336189848385,287.61039657020365,2,2,1125,0,0,28,303,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,0.64
53,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,False,True,False,False,True,True,True,True,False,0.948867981790592,0.999671592775041,0.0,1.0,1.0,3,1.0,1.0,1.0,854.6185567010309,20.0,788.4818317570931,2613.336189848385,287.61039657020365,1,1,1125,18,46,76,351,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221247
54,False,True,True,True,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,True,1.0,1.0,0.0,1.0,1.0,2,1.5,1.0,1.0,854.6185567010309,150.0,788.4818317570931,2613.336189848385,500.0,2,4,1125,0,0,0,212,0,94.53926206244087,9.63639240506329,9.556398104265403,9.786708860759493,9.809598989580044,9.608915586468543,9.452245414294751,1,2.078918834221247
